n_index,p_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
4,6,126.0,342.0,265.0,520.0,104.0,-0.12684000000008216,2.3731999999987177,0.7358799999960999,-0.22111100000006648,-0.0013484000001359308,-0.0015759899999996507
4,7,129.0,221.0,250.0,393.0,106.0,-0.14084000000008196,2.238199999998718,0.6748799999960801,-0.20079100000006617,-0.003488400000135919,-0.0024729899999996513
4,8,132.0,145.0,175.0,266.0,107.0,-0.11084000000008229,2.4341999999987163,0.35187999999613245,-0.20639100000006588,-0.00706840000013593,-0.0017319899999996525
4,9,134.0,135.0,170.0,247.0,107.0,-0.1628400000000817,2.4071999999987153,0.663879999996099,-0.19775100000006637,-0.005888400000135913,-0.0016539899999996495
4,10,135.0,106.0,115.0,222.0,107.0,-0.13784000000008212,2.4651999999987138,0.35387999999613,-0.18783100000006614,-0.005368400000135917,-0.0011079899999996488
5,0,128.0,633.0,778.0,726.0,106.0,-0.10184000000008221,2.7531999999987176,-0.08112000000390937,-0.2590510000000663,0.0009915999998640665,0.00010101000000035042
5,1,128.0,591.0,749.0,715.0,105.0,-0.06584000000008217,2.499199999998712,0.1268799999961221,-0.22897100000006632,0.0026915999998640837,0.0006470100000003507
5,2,126.0,550.0,727.0,707.0,105.0,0.005159999999918348,2.464199999998714,-0.32612000000386976,-0.22789100000006632,0.003831599999864074,-0.0006139899999996492
5,3,127.0,537.0,708.0,703.0,106.0,-0.01884000000008196,2.2651999999987167,-0.15612000000387077,-0.20549100000006618,0.0015715999998640803,0.00071201000000035
5,4,125.0,538.0,644.0,680.0,104.0,-0.03284000000008185,2.445199999998714,0.20387999999608594,-0.22487100000006655,0.00017159999986406398,-0.0013289899999996504
5,5,125.0,495.0,446.0,637.0,104.0,-0.049840000000081895,2.3371999999987203,0.5308799999961048,-0.22189100000006645,0.0015715999998640665,-0.0010039899999996506
5,6,126.0,342.0,266.0,520.0,104.0,-0.02684000000008192,2.366199999998717,0.4958799999960926,-0.22199100000006664,-0.0014684000001359292,-0.0006139899999996484
5,7,130.0,222.0,251.0,394.0,106.0,-0.1158400000000821,2.229199999998717,0.5918799999960807,-0.19899100000006584,-0.004228400000135923,-0.00144598999999965
5,8,132.0,145.0,176.0,268.0,106.0,-0.12484000000008201,2.4351999999987135,0.10487999999611707,-0.20539100000006616,-0.0065484000001359175,-0.0007569899999996481
5,9,134.0,135.0,171.0,247.0,107.0,-0.15584000000008186,2.465199999998714,0.16887999999610268,-0.194491000000066,-0.008608400000135914,-0.0022909899999996514
5,10,136.0,107.0,115.0,223.0,107.0,-0.09684000000008239,2.3941999999987176,-0.15112000000389678,-0.1846110000000663,-0.006908400000135886,-0.0006919899999996484
