n_index,p_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,140.0,630.0,792.0,738.0,114.0,0.02666000000181084,0.30404999999931986,-0.13394000000064918,-0.06269079999995969,0.005535399999876325,0.0003729700000002538
1,1,139.0,594.0,767.0,729.0,114.0,0.05866000000181068,0.019049999999319677,0.5490599999993349,-0.03593079999995953,0.007995399999876333,0.0006979700000002542
1,2,138.0,560.0,746.0,722.0,114.0,0.029660000001810828,0.006049999999319715,0.27005999999932456,-0.0340107999999596,0.01097539999987634,0.0028169700000002565
1,3,138.0,546.0,730.0,718.0,114.0,0.07566000000181047,-0.1859500000006801,-0.09994000000065968,-0.018250799999959624,0.008555399999876341,0.004103970000000261
1,4,137.0,544.0,668.0,695.0,112.0,0.03066000000181083,0.060049999999319495,0.7340599999992837,-0.040650799999959665,0.006635399999876317,-0.0012650299999997488
1,5,137.0,494.0,457.0,651.0,113.0,0.025660000001810873,-0.03495000000068008,0.8600599999993566,-0.030630799999959653,0.00397539999987632,0.0003469700000002525
1,6,138.0,341.0,267.0,526.0,113.0,-0.01833999999818896,-0.02095000000068068,1.1120599999993461,-0.031490799999959594,0.0036953999998763656,0.00039897000000025247
1,7,140.0,226.0,260.0,394.0,114.0,0.0006600000018109118,-0.1379500000006808,-0.007940000000677426,-0.009210799999959602,0.00017539999987633734,0.0022579700000002617
1,8,143.0,154.0,186.0,266.0,116.0,-0.04733999999818885,0.08304999999931945,0.24305999999935013,-0.017690799999959716,-0.002764600000123689,-0.00040702999999974707
1,9,145.0,149.0,175.0,246.0,116.0,-0.06733999999818872,0.04104999999931957,0.7430599999993568,-0.013350799999959577,-0.002844600000123706,-1.702999999974699e-05
1,10,146.0,125.0,121.0,219.0,116.0,-0.005339999998189049,-0.001950000000680244,-0.1619400000006827,-0.003930799999959684,0.0030753999998763574,0.0013349700000002507
2,0,139.0,630.0,789.0,737.0,114.0,0.06466000000181049,0.36304999999931986,0.2040599999993356,-0.06593079999995972,0.008655399999876343,0.0008929700000002518
2,1,139.0,594.0,764.0,728.0,114.0,0.09166000000181054,0.09304999999931945,0.43805999999935025,-0.03809079999995972,0.008395399999876357,0.002361970000000252
2,2,138.0,559.0,742.0,720.0,113.0,0.06166000000181066,0.10204999999931945,0.6000599999993388,-0.0367707999999599,0.009475399999876347,0.00021697000000025287
2,3,138.0,546.0,726.0,717.0,113.0,0.01966000000181088,-0.16295000000068074,0.9500599999993542,-0.01943079999995964,0.009155399999876353,0.0018809700000002496
2,4,136.0,543.0,663.0,694.0,111.0,0.03966000000181077,0.09104999999931952,0.7740599999993631,-0.03873079999995956,0.006895399999876318,0.0002039700000002519
2,5,137.0,492.0,449.0,648.0,112.0,0.037660000001810856,-0.05795000000068019,0.9410599999993284,-0.030130799999959698,0.005895399999876365,0.00255697000000026
2,6,137.0,338.0,264.0,522.0,112.0,-0.0033399999981890537,-0.05195000000067997,1.029059999999293,-0.030810799999959598,0.0035153999998763555,0.0011659700000002506
2,7,140.0,224.0,257.0,390.0,114.0,-0.01533999999818903,-0.16295000000068025,0.8260599999992762,-0.009210799999959631,0.0004753999998763517,-0.0001860299999997455
2,8,142.0,152.0,182.0,263.0,115.0,-0.02633999999818897,0.059049999999319466,0.6550599999993135,-0.02307079999995961,-0.00012460000012365637,-0.00073202999999975
2,9,144.0,147.0,172.0,241.0,114.0,-0.039339999998188886,0.1120499999993195,0.4220599999993366,-0.010210799999959604,0.0003753999998763658,0.0006329700000002529
2,10,146.0,122.0,118.0,215.0,115.0,-0.028339999998188946,0.062049999999319524,0.38505999999930296,0.0005892000000403148,0.0009753999998763415,0.0008019700000002533
3,0,139.0,630.0,788.0,737.0,114.0,0.08066000000181056,0.37004999999932076,0.19605999999934154,-0.06703079999995974,0.006095399999876351,0.0018029700000002495
3,1,138.0,593.0,763.0,728.0,113.0,0.05666000000181067,0.10304999999931946,-0.28994000000065745,-0.04509079999995968,0.008695399999876318,0.001802970000000252
3,2,137.0,557.0,740.0,720.0,113.0,0.02466000000181088,0.11204999999931946,0.05805999999935116,-0.03989079999995968,0.00885539999987634,0.0006849700000002537
3,3,138.0,545.0,724.0,716.0,113.0,0.05966000000181066,-0.15195000000068157,0.05205999999935109,-0.020090799999959535,0.006575399999876338,0.0015169700000002494
3,4,136.0,542.0,661.0,694.0,112.0,0.08066000000181046,0.10404999999931942,0.5590599999993244,-0.041130799999959645,0.007575399999876321,0.0010229700000002509
3,5,137.0,491.0,447.0,648.0,112.0,0.014660000001810846,-0.0159500000006802,0.5840599999993362,-0.03451079999995955,0.0051153999998763576,-0.0001730299999997462
3,6,137.0,337.0,263.0,520.0,112.0,0.017660000001810852,-0.035950000000680306,0.761059999999329,-0.03177079999995969,0.0029153999998763535,0.0025179700000002546
3,7,139.0,222.0,256.0,388.0,113.0,0.022660000001810822,-0.11395000000068117,0.27905999999934356,-0.013890799999959565,0.0011753999998763713,-0.00018602999999974695
3,8,142.0,151.0,182.0,261.0,115.0,-0.006339999998189029,0.07404999999931942,0.4760599999993021,-0.01833079999995965,-0.0018646000001236811,-0.0005240299999997508
3,9,144.0,146.0,171.0,240.0,115.0,-0.03833999999818889,0.08304999999931954,-0.0009400000006666836,-0.012370799999959579,-0.0014446000001237112,-0.0002900299999997464
3,10,146.0,122.0,118.0,214.0,116.0,-0.043339999998188855,0.04804999999931965,0.021059999999347392,-0.0023907999999596627,0.0008553999998763546,0.0009059700000002522
4,0,138.0,629.0,787.0,736.0,113.0,0.07866000000181037,0.40104999999932095,0.3450599999993373,-0.06671079999995969,0.005855399999876341,0.00019097000000025449
4,1,138.0,592.0,762.0,727.0,113.0,0.07566000000181058,0.13604999999931947,-0.09094000000066327,-0.03819079999995965,0.004535399999876314,0.0018289700000002497
4,2,137.0,557.0,739.0,720.0,113.0,0.04466000000181077,0.08204999999931943,0.02405999999932075,-0.0393107999999598,0.009255399999876375,-0.00047202999999974794
4,3,138.0,544.0,724.0,716.0,112.0,0.015660000001810892,-0.14295000000068148,-0.13094000000066772,-0.01959079999995951,0.006715399999876326,0.000619970000000252
4,4,136.0,542.0,660.0,693.0,112.0,0.06666000000181048,0.0700499999993195,0.30505999999935074,-0.039830799999959726,0.006255399999876336,0.0005159700000002537
4,5,136.0,490.0,445.0,647.0,111.0,0.03366000000181084,-0.0659500000006802,0.68305999999932,-0.02989079999995962,0.0038353999998763447,0.0014909700000002523
4,6,136.0,336.0,263.0,519.0,112.0,0.038660000001810815,-0.006950000000680481,0.8710599999993152,-0.0321707999999596,0.0033553999998763595,0.0014389700000002489
4,7,139.0,222.0,256.0,387.0,113.0,0.023660000001810857,-0.19195000000068044,0.4160599999993307,-0.010570799999959603,-0.0005846000001236636,0.0009319700000002499
4,8,142.0,151.0,180.0,261.0,114.0,-0.02733999999818898,0.04104999999931964,0.14405999999932984,-0.020990799999959595,-0.004904600000123693,-4.029999999746019e-06
