p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,798.0,973.0,799.0,224.0,771.0,-0.11544999999969227,0.054679999998948556,0.10770999999787483,0.0006284000000716411,-0.012204200000134002,-0.0045685900000000034
1,1,800.0,973.0,800.0,223.0,770.0,-0.11144999999969224,0.4966799999989478,-0.0572900000021286,-0.03385159999992825,-0.012124200000133988,-0.009066589999999996
1,2,801.0,971.0,802.0,221.0,770.0,-0.13944999999969201,0.9606799999989475,-0.09329000000213686,-0.07029159999992832,-0.012564200000134041,-0.012615589999999986
1,3,796.0,970.0,802.0,220.0,770.0,-0.15944999999969195,1.5006799999989517,-0.10129000000213181,-0.1148915999999285,-0.010364200000134017,-0.01624259
1,4,776.0,968.0,801.0,218.0,771.0,-0.19244999999969162,2.0646799999989476,-0.3102900000021397,-0.16253159999992808,-0.006384200000133975,-0.024380589999999994
1,5,748.0,967.0,800.0,216.0,773.0,-0.09644999999969228,2.6036799999989424,-0.10529000000212116,-0.19823159999992837,-0.006084200000133989,-0.028891589999999967
1,6,712.0,964.0,799.0,214.0,774.0,-0.08444999999969227,3.187679999998951,-0.14729000000212972,-0.23953159999992835,-0.005744200000134004,-0.034117589999999975
1,7,670.0,958.0,797.0,208.0,774.0,-0.12144999999969229,3.729679999998944,-0.3482900000021319,-0.28641159999992816,-0.0033442000001339765,-0.040591590000000045
1,8,630.0,948.0,796.0,203.0,774.0,-0.11444999999969223,4.300679999998946,0.1027099999978782,-0.32923159999992846,-0.0020642000001340264,-0.04670158999999989
1,9,598.0,938.0,796.0,196.0,773.0,-0.1164499999996922,4.876679999998948,0.3987099999978779,-0.3725115999999285,0.0009957999998660354,-0.05252558999999998
1,10,575.0,922.0,796.0,188.0,772.0,-0.08444999999969219,5.52267999999895,0.32270999999789657,-0.42317159999992765,0.003495799999866,-0.06009159000000007
2,0,786.0,972.0,795.0,223.0,773.0,-0.012449999999692037,0.05467999999894847,0.10770999999786696,-0.0053115999999283495,0.002975799999866027,-0.0007335900000000001
2,1,788.0,971.0,799.0,223.0,773.0,-0.04044999999969188,0.18267999999894757,0.492709999997871,-0.011811599999928339,-0.00144420000013395,-0.004321590000000005
2,2,789.0,971.0,804.0,220.0,772.0,-0.13744999999969212,0.6486799999989472,0.19170999999790522,-0.04689159999992836,-0.005444200000133987,-0.008598589999999993
2,3,791.0,969.0,807.0,216.0,772.0,-0.19644999999969154,1.1716799999989487,0.21870999999787283,-0.0871115999999285,-0.012364200000134041,-0.014266590000000001
2,4,790.0,967.0,807.0,212.0,773.0,-0.2024499999996915,1.6846799999989461,0.3737099999978777,-0.1335315999999282,-0.012304200000134031,-0.01924559
2,5,783.0,959.0,806.0,206.0,772.0,-0.2894499999996925,2.2346799999989453,-0.0022900000021195323,-0.1728715999999283,-0.017944200000133973,-0.024406589999999995
2,6,773.0,946.0,805.0,199.0,773.0,-0.31844999999969237,2.79767999999895,0.14970999999787754,-0.21583159999992818,-0.02172420000013403,-0.030009589999999968
