p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,789.0,973.0,795.0,215.0,766.0,-0.02883999999978881,0.0465799999991112,0.20481999999882639,-0.0008843999999808412,-0.001666200000105282,-0.0013153399999996916
1,1,792.0,971.0,796.0,214.0,767.0,-0.08883999999978878,0.36957999999911223,0.5638199999988219,-0.029584399999980877,9.379999989472941e-05,-0.005384339999999687
1,2,794.0,970.0,797.0,213.0,769.0,-0.09983999999978874,0.8845799999991115,0.20381999999882514,-0.06708439999998089,-0.002786200000105293,-0.011936339999999697
1,3,790.0,968.0,797.0,212.0,767.0,-0.1108399999997888,1.395579999999112,0.0998199999988048,-0.10734439999998084,-0.0013862000001052632,-0.015511339999999681
1,4,773.0,966.0,797.0,211.0,769.0,-0.05483999999978868,1.9425799999991133,-0.014180000001160814,-0.15230439999998077,-0.005786200000105279,-0.021231339999999703
1,5,741.0,966.0,796.0,208.0,771.0,-0.13483999999978866,2.4445799999991067,0.11881999999883616,-0.19218439999998085,-0.004266200000105296,-0.02539133999999972
1,6,703.0,963.0,795.0,204.0,772.0,-0.11583999999978879,3.016579999999116,0.05281999999880213,-0.23618439999998053,-0.004766200000105298,-0.03352933999999967
1,7,661.0,957.0,795.0,199.0,772.0,-0.0468399999997887,3.625579999999107,0.0688199999988216,-0.2809443999999807,-0.00410620000010528,-0.03962633999999967
1,8,623.0,948.0,795.0,193.0,773.0,-0.03783999999978871,4.153579999999106,0.0798199999988037,-0.32310439999998103,-0.0003862000001052911,-0.04606133999999978
1,9,594.0,937.0,797.0,186.0,772.0,-0.0188399999997885,4.792579999999114,0.0778199999988158,-0.3673843999999809,0.0017137999998947113,-0.05165133999999962
1,10,568.0,921.0,800.0,179.0,772.0,-0.021839999999788834,5.4225799999991136,0.22981999999882993,-0.41648439999998105,0.004633799999894747,-0.05774833999999969
2,0,781.0,971.0,791.0,216.0,771.0,-0.051839999999788854,0.04557999999911141,0.39981999999881845,0.0003956000000191403,-0.0021662000001052956,-0.0007303399999996905
2,1,783.0,971.0,793.0,216.0,770.0,-0.01883999999978879,0.16857999999911089,-0.14118000000118858,-0.011244399999980963,-0.004386200000105296,-0.004305339999999688
2,2,784.0,969.0,798.0,214.0,770.0,-0.1338399999997887,0.56657999999911,-0.05518000000116787,-0.04784439999998085,-0.007746200000105312,-0.007529339999999686
2,3,785.0,967.0,801.0,210.0,771.0,-0.18183999999978856,1.0845799999991126,-0.0021800000011795145,-0.08414439999998091,-0.014266200000105339,-0.013106339999999701
2,4,784.0,965.0,803.0,205.0,770.0,-0.17583999999978844,1.6355799999991094,0.10581999999881417,-0.12040439999998095,-0.020106200000105316,-0.017955339999999705
2,5,778.0,957.0,803.0,199.0,771.0,-0.2658399999997887,2.1645799999991087,-0.4091800000011824,-0.16946439999998067,-0.01932620000010526,-0.023233339999999717
2,6,767.0,944.0,803.0,192.0,772.0,-0.2838399999997894,2.7125799999991123,-0.4171800000011906,-0.21664439999998036,-0.018446200000105308,-0.028875339999999708
2,7,751.0,926.0,801.0,183.0,772.0,-0.27383999999978936,3.2965799999991092,-0.4761800000011752,-0.2637043999999807,-0.024406200000105273,-0.03321733999999971
2,8,728.0,900.0,795.0,174.0,772.0,-0.30783999999978956,3.861579999999114,-0.10318000000118897,-0.3041443999999809,-0.02720620000010529,-0.0419143399999997
2,9,702.0,858.0,786.0,163.0,772.0,-0.3858399999997902,4.461579999999106,-0.08818000000117193,-0.34512439999998074,-0.03108620000010528,-0.04790733999999968
2,10,674.0,798.0,764.0,152.0,771.0,-0.43183999999979006,5.058579999999119,0.2598199999988175,-0.3986443999999802,-0.03448620000010537,-0.05451133999999978
3,0,785.0,969.0,793.0,217.0,774.0,-0.06983999999978877,0.08357999999911103,-0.24418000000119022,-0.004144399999980863,-0.0012062000001052701,-0.003694339999999688
3,1,786.0,969.0,795.0,216.0,773.0,-0.014839999999788717,0.1535799999991109,-0.29118000000116256,-0.008324399999980926,-0.0005462000001052666,-0.0016403399999996902
3,2,785.0,969.0,804.0,210.0,773.0,-0.07283999999978868,0.49457999999911034,-0.24018000000118833,-0.04184439999998096,-0.004526200000105284,-0.005475339999999687
3,3,785.0,968.0,807.0,200.0,772.0,-0.18283999999978826,0.8685799999991116,0.050819999998811864,-0.06802439999998092,-0.01320620000010537,-0.008881339999999694
3,4,785.0,959.0,807.0,189.0,772.0,-0.16483999999978846,1.3165799999991117,-0.5041800000011653,-0.10800439999998093,-0.012326200000105314,-0.012833339999999707
3,5,785.0,944.0,799.0,176.0,772.0,-0.21683999999978826,1.8365799999991086,-0.42218000000119804,-0.14136439999998104,-0.017946200000105314,-0.015953339999999684
3,6,785.0,920.0,785.0,162.0,772.0,-0.2978399999997893,2.3355799999991134,-0.23418000000116315,-0.1831243999999808,-0.02198620000010526,-0.019489339999999692
3,7,782.0,884.0,757.0,147.0,771.0,-0.31983999999978974,2.8665799999991073,-0.10318000000117317,-0.22818439999998122,-0.026566200000105268,-0.0214003399999997
3,8,778.0,832.0,699.0,131.0,771.0,-0.35683999999979016,3.418579999999117,0.29381999999881675,-0.27220439999998075,-0.027846200000105292,-0.0274323399999997
3,9,772.0,751.0,601.0,114.0,770.0,-0.36583999999979006,4.026579999999107,0.29181999999882086,-0.314764399999981,-0.03500620000010539,-0.034686339999999725
3,10,763.0,619.0,465.0,98.0,768.0,-0.4788399999997897,4.594579999999118,0.8198199999987974,-0.3612243999999809,-0.037546200000105286,-0.039912339999999706
4,0,785.0,968.0,794.0,217.0,774.0,-0.04183999999978873,0.07757999999911112,0.32481999999880995,-0.0011843999999808872,-0.0003262000001052838,-0.0013023399999996892
4,1,785.0,969.0,797.0,216.0,773.0,-0.025839999999788567,0.120579999999111,-0.24518000000119308,-0.007544399999980879,-0.002766200000105271,-0.002368339999999689
4,2,785.0,970.0,809.0,204.0,773.0,-0.08083999999978887,0.4055799999991124,0.29281999999882674,-0.0339243999999809,-0.0030062000001052614,-0.005176339999999687
4,3,784.0,970.0,811.0,184.0,772.0,-0.10183999999978889,0.7445799999991112,-0.18318000000117526,-0.061464399999980726,-0.003586200000105308,-0.004474339999999687
4,4,786.0,963.0,798.0,164.0,772.0,-0.1668399999997888,1.1585799999991113,0.051819999998817805,-0.09056439999998074,-0.007866200000105272,-0.007945339999999686
4,5,786.0,947.0,773.0,140.0,771.0,-0.11183999999978873,1.5935799999991125,-0.009180000001172143,-0.12214439999998092,-0.011766200000105299,-0.008439339999999691
4,6,786.0,924.0,714.0,114.0,770.0,-0.17183999999978838,2.0925799999991086,0.029819999998800348,-0.162424399999981,-0.014486200000105347,-0.009583339999999684
4,7,784.0,884.0,604.0,90.0,769.0,-0.22383999999978837,2.5385799999991074,0.19381999999882962,-0.20694439999998113,-0.017466200000105365,-0.012781339999999709
4,8,781.0,826.0,444.0,71.0,767.0,-0.2778399999997889,3.079579999999112,0.02581999999883123,-0.24724439999998093,-0.017746200000105322,-0.015680339999999682
4,9,779.0,729.0,276.0,57.0,765.0,-0.2388399999997882,3.669579999999106,0.842819999998822,-0.29454439999998044,-0.021006200000105293,-0.016005339999999695
4,10,775.0,577.0,150.0,48.0,763.0,-0.32883999999978963,4.23957999999911,0.9818199999988273,-0.3380843999999806,-0.021586200000105294,-0.017123339999999706
5,0,785.0,969.0,793.0,214.0,773.0,-0.030839999999788974,0.03757999999911112,0.5398199999988181,-0.0033243999999808473,-0.0002062000001052493,-0.0027713399999996884
5,1,785.0,969.0,796.0,212.0,773.0,-0.04883999999978871,0.09657999999911084,0.42981999999883663,-0.00976439999998094,-0.002686200000105275,-0.00208233999999969
5,2,785.0,970.0,812.0,186.0,772.0,-0.05783999999978897,0.40157999999911215,0.29881999999883424,-0.03520439999998089,-0.003106200000105299,-0.0026803399999996893
5,3,785.0,971.0,811.0,152.0,772.0,-0.057839999999788595,0.7495799999991113,-0.1761800000011886,-0.060704399999981,-0.005486200000105299,-0.0026023399999996885
5,4,786.0,972.0,795.0,113.0,771.0,-0.08983999999978885,1.1245799999991115,-0.3061800000011792,-0.08866439999998083,-0.004226200000105295,-0.0021343399999996892
