p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,787.0,973.0,794.0,215.0,765.0,-0.051839999999788555,0.03457999999911124,-0.1921800000011761,-0.0015043999999808978,-0.0043462000001052966,-0.0028363399999996883
1,1,791.0,971.0,795.0,214.0,766.0,-0.02983999999978878,0.40857999999911243,-0.24418000000117734,-0.028344399999980903,-0.0017062000001052619,-0.007542339999999686
1,2,793.0,970.0,796.0,213.0,768.0,-0.058839999999788756,0.8555799999991113,-0.21318000000118334,-0.06694439999998081,-0.0024062000001052724,-0.009726339999999698
1,3,789.0,968.0,796.0,211.0,768.0,-0.014839999999788616,1.3585799999991113,-0.018180000001199296,-0.10734439999998091,-0.00394620000010524,-0.01584933999999969
1,4,772.0,966.0,796.0,210.0,769.0,-0.04683999999978875,1.9455799999991141,-0.37318000000117835,-0.14932439999998084,-0.002326200000105274,-0.01999633999999972
1,5,740.0,965.0,795.0,208.0,770.0,-0.0978399999997887,2.4575799999991057,-0.379180000001164,-0.19336439999998092,-0.003506200000105273,-0.025950339999999718
1,6,701.0,963.0,794.0,203.0,772.0,-0.04183999999978845,3.001579999999114,-0.5771800000011618,-0.23612439999998053,-0.004066200000105286,-0.03242433999999968
1,7,658.0,957.0,794.0,199.0,773.0,-0.021839999999788834,3.59757999999911,-0.48418000000118105,-0.2821443999999808,-0.0011862000001052943,-0.0372473399999997
1,8,620.0,947.0,795.0,192.0,773.0,-0.021839999999788504,4.143579999999104,0.011819999998811007,-0.3200443999999808,-0.0017462000001052796,-0.044449339999999726
1,9,592.0,937.0,797.0,186.0,772.0,0.021160000000211742,4.787579999999112,0.0188199999988216,-0.37246439999998104,-4.6200000105287244e-05,-0.05146933999999968
1,10,567.0,921.0,798.0,178.0,771.0,-0.045839999999788945,5.408579999999112,0.013819999998827423,-0.4151843999999807,0.00257379999989472,-0.057696339999999735
2,0,779.0,971.0,791.0,216.0,770.0,-0.040839999999788525,0.051579999999111156,0.32381999999880495,-0.00044439999998095064,-0.003726200000105277,-0.0023813399999996886
2,1,780.0,971.0,793.0,216.0,770.0,-0.05983999999978863,0.15657999999911087,0.22681999999882105,-0.008704399999980905,-0.004946200000105271,-0.004045339999999688
2,2,782.0,970.0,798.0,214.0,770.0,-0.08183999999978894,0.5845799999991095,-0.027180000001179754,-0.04892439999998079,-0.008806200000105315,-0.008023339999999688
2,3,784.0,967.0,801.0,209.0,770.0,-0.13383999999978877,1.059579999999112,0.1388199999988241,-0.08254439999998084,-0.012146200000105304,-0.01347033999999969
2,4,783.0,965.0,802.0,204.0,771.0,-0.19383999999978838,1.5785799999991108,0.418819999998827,-0.1237443999999808,-0.013846200000105335,-0.01644733999999969
2,5,776.0,957.0,803.0,198.0,771.0,-0.24183999999978872,2.144579999999109,-0.012180000001185264,-0.1668443999999811,-0.020766200000105265,-0.022440339999999698
2,6,764.0,944.0,804.0,191.0,772.0,-0.30483999999978917,2.6965799999991154,-0.14918000000117798,-0.21254439999998084,-0.02250620000010529,-0.028264339999999683
2,7,748.0,926.0,801.0,182.0,773.0,-0.25083999999978895,3.236579999999109,-0.25518000000117197,-0.25766439999998075,-0.027766200000105313,-0.033880339999999703
2,8,724.0,898.0,797.0,173.0,773.0,-0.2918399999997893,3.8355799999991183,-0.034180000001198335,-0.30208439999998105,-0.03176620000010533,-0.03993833999999973
2,9,697.0,857.0,786.0,163.0,772.0,-0.3848399999997902,4.418579999999108,0.30181999999881076,-0.34308439999998064,-0.037086200000105325,-0.045918339999999745
2,10,669.0,797.0,764.0,151.0,770.0,-0.43783999999978984,5.050579999999118,0.7998199999988237,-0.3939443999999807,-0.03580620000010534,-0.05604533999999981
