p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,790.0,973.0,796.0,216.0,768.0,-0.05483999999978864,0.04457999999911097,0.019819999998822953,0.002975600000019158,-0.0017262000001052884,1.066000000030666e-05
1,1,793.0,972.0,797.0,215.0,768.0,-0.033839999999788706,0.47657999999911044,-0.19118000000119098,-0.031764399999980826,-0.0014462000001052788,-0.007789339999999686
1,2,795.0,971.0,798.0,215.0,769.0,-0.06583999999978883,0.9165799999991115,0.020819999998813052,-0.06822439999998081,-0.005246200000105315,-0.011169339999999696
1,3,790.0,969.0,798.0,214.0,768.0,-0.08083999999978884,1.427579999999111,-0.05618000000117495,-0.10852439999998081,-0.005266200000105264,-0.015784339999999685
1,4,771.0,968.0,798.0,212.0,769.0,-0.06283999999978881,1.9755799999991128,-0.0841800000011779,-0.15228439999998095,-0.005546200000105284,-0.020568339999999706
1,5,742.0,966.0,797.0,209.0,770.0,-0.060839999999788875,2.5055799999991053,-0.165180000001176,-0.19332439999998105,-0.002306200000105272,-0.02675633999999968
1,6,705.0,964.0,796.0,206.0,773.0,-0.08983999999978878,3.1045799999991144,-0.20918000000117667,-0.24040439999998103,-0.002446200000105323,-0.033438339999999685
1,7,663.0,958.0,795.0,201.0,773.0,-0.042839999999788325,3.6445799999991064,-0.0751800000011849,-0.28340439999998107,-0.0003862000001052915,-0.038547339999999736
1,8,624.0,949.0,795.0,196.0,773.0,-0.030839999999788755,4.199579999999116,-0.22218000000120347,-0.3224643999999806,-0.0019262000001052844,-0.04548933999999968
1,9,594.0,938.0,798.0,189.0,772.0,-0.0018399999997883842,4.797579999999114,0.3188199999988222,-0.37206439999998037,0.0018137999998947252,-0.05146933999999969
1,10,570.0,923.0,798.0,181.0,771.0,-0.05083999999978883,5.414579999999106,0.3568199999988165,-0.41752439999998087,0.004813799999894695,-0.05917833999999971
2,0,786.0,972.0,792.0,218.0,772.0,-0.020839999999788604,0.014579999999111025,-0.12418000000119267,-0.0017043999999809608,3.379999989474153e-05,-0.0007043399999996909
2,1,786.0,972.0,794.0,218.0,772.0,-0.07483999999978895,0.15257999999911087,-0.1031800000011811,-0.014584399999980936,-0.0013862000001052955,-0.003499339999999688
2,2,788.0,970.0,800.0,216.0,771.0,-0.13683999999978877,0.6305799999991101,-0.01918000000118017,-0.0448843999999808,-0.008586200000105293,-0.008881339999999687
2,3,788.0,968.0,802.0,212.0,771.0,-0.19483999999978852,1.0965799999991122,-0.08318000000118905,-0.08342439999998098,-0.01316620000010533,-0.014393339999999701
2,4,787.0,965.0,803.0,207.0,771.0,-0.1758399999997885,1.6575799999991112,0.10081999999881747,-0.127784399999981,-0.01674620000010536,-0.018813339999999713
2,5,780.0,958.0,804.0,201.0,771.0,-0.26083999999978885,2.1825799999991076,-0.08018000000120555,-0.17278439999998088,-0.01798620000010528,-0.022843339999999678
2,6,769.0,945.0,803.0,194.0,772.0,-0.3018399999997896,2.726579999999114,-0.37518000000117296,-0.21186439999998108,-0.022086200000105284,-0.028823339999999694
2,7,753.0,926.0,800.0,185.0,773.0,-0.3088399999997901,3.2735799999991055,-0.4401800000011826,-0.2599843999999806,-0.024966200000105288,-0.03406233999999974
2,8,732.0,899.0,795.0,176.0,773.0,-0.3638399999997901,3.837579999999118,-0.5191800000011803,-0.29924439999998065,-0.028646200000105343,-0.040497339999999646
2,9,708.0,854.0,786.0,165.0,772.0,-0.40083999999979,4.442579999999106,-0.2831800000011819,-0.34796439999998113,-0.032026200000105295,-0.04793333999999973
2,10,681.0,798.0,760.0,154.0,771.0,-0.4138399999997902,5.077579999999115,0.13381999999881133,-0.396984399999981,-0.03572620000010535,-0.053809339999999616
3,0,785.0,970.0,795.0,218.0,774.0,-0.03683999999978851,0.05257999999911114,0.06981999999879011,-0.0010243999999808612,-0.001946200000105267,-0.0015103399999996893
3,1,786.0,970.0,798.0,217.0,774.0,-0.07183999999978896,0.12757999999911082,-0.21718000000117607,-0.010984399999980956,-0.0016262000001052877,-0.0026803399999996884
3,2,786.0,970.0,806.0,212.0,774.0,-0.10583999999978876,0.45457999999911164,-0.23018000000117925,-0.03970439999998086,-0.005226200000105288,-0.005852339999999687
3,3,785.0,969.0,810.0,202.0,773.0,-0.1278399999997888,0.9115799999991118,-0.4001800000011668,-0.07026439999998085,-0.009186200000105284,-0.008972339999999688
3,4,785.0,960.0,810.0,190.0,773.0,-0.18283999999978848,1.3145799999991126,-0.5051800000012066,-0.10464439999998104,-0.012446200000105339,-0.012495339999999699
3,5,784.0,944.0,801.0,177.0,772.0,-0.18583999999978817,1.7925799999991114,-0.5151800000011394,-0.1446043999999807,-0.018206200000105255,-0.015498339999999682
3,6,782.0,923.0,785.0,163.0,772.0,-0.3258399999997893,2.3155799999991107,-0.16818000000117092,-0.18750439999998073,-0.019186200000105347,-0.019411339999999718
