p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,154.0,548.0,739.0,773.0,98.0,0.2235299999990303,0.12679999999952393,0.5123499999824075,-0.013409200000082154,0.019062200000090013,0.00918944000000068
1,1,152.0,559.0,746.0,781.0,98.0,0.06952999999902934,0.6797999999995236,0.5383499999824292,-0.048029200000082165,0.015822200000090002,0.012920440000000706
1,2,150.0,571.0,748.0,775.0,78.0,-0.02547000000097034,1.2447999999995216,0.6573499999823884,-0.09498920000008225,0.01296220000009,0.018237440000000712
1,3,148.0,580.0,744.0,755.0,61.0,-0.018470000000970356,1.770799999999522,0.5193499999824392,-0.13376920000008227,0.01202220000009002,0.021903440000000676
1,4,145.0,586.0,735.0,715.0,44.0,-0.10147000000097005,2.374799999999523,0.43334999998243645,-0.18562920000008207,0.006282200000090012,0.024100440000000705
1,5,143.0,590.0,720.0,659.0,34.0,-0.24547000000097047,2.937799999999522,0.6503499999823893,-0.23348920000008275,2.200000090109126e-06,0.027532440000000696
1,6,141.0,592.0,702.0,592.0,28.0,-0.4014700000009714,3.466799999999527,0.9553499999824452,-0.2868092000000822,-0.008077799999910006,0.0326934400000007
1,7,138.0,592.0,682.0,521.0,23.0,-0.5674700000009689,4.1037999999995165,0.6533499999824092,-0.33446920000008185,-0.014217799999909997,0.032524440000000716
1,8,136.0,589.0,658.0,454.0,21.0,-0.7254700000009702,4.711799999999529,0.7013499999823998,-0.38938920000008226,-0.021137799999909987,0.03749044000000073
1,9,133.0,584.0,632.0,382.0,19.0,-0.8294700000009706,5.311799999999518,0.4423499999823815,-0.44372920000008176,-0.0274777999999099,0.041429440000000706
1,10,132.0,577.0,604.0,311.0,19.0,-0.9214700000009689,5.852799999999519,1.4263499999824,-0.48300920000008285,-0.036637799999909924,0.048865440000000614
2,0,154.0,547.0,739.0,767.0,97.0,-0.027470000000970336,-0.10820000000047697,0.4073499999824011,0.0076107999999178,-0.003637799999909981,0.0006354400000006826
2,1,153.0,559.0,748.0,768.0,101.0,-0.026470000000970332,0.31879999999952335,-0.027650000017610095,-0.028429200000082113,-0.00037779999990991545,0.002936440000000689
2,2,151.0,573.0,747.0,733.0,97.0,-0.04347000000097028,0.9107999999995238,0.046349999982416075,-0.07388920000008212,0.006522200000090014,0.010307440000000676
2,3,149.0,583.0,734.0,665.0,81.0,-0.10847000000097001,1.3487999999995222,0.07734999998244008,-0.10766920000008232,0.0056022000000900294,0.012985440000000688
2,4,146.0,589.0,719.0,597.0,72.0,-0.08947000000097012,1.8557999999995207,0.6983499999824513,-0.1422892000000822,0.014682200000089997,0.019173440000000704
2,5,144.0,594.0,689.0,506.0,56.0,-0.06447000000097007,2.4947999999995187,0.028349999982417554,-0.1946092000000822,0.012982200000090007,0.023021440000000715
2,6,142.0,596.0,647.0,422.0,45.0,-0.11847000000097005,3.0397999999995258,0.48634999998245265,-0.24236920000008183,0.015882200000090003,0.026830440000000677
2,7,139.0,593.0,594.0,332.0,38.0,-0.13847000000097004,3.6777999999995203,0.17934999998242682,-0.3008492000000824,0.018042200000090027,0.030340440000000714
2,8,135.0,584.0,535.0,245.0,32.0,-0.19947000000097004,4.208799999999516,0.8003499999824218,-0.35238920000008256,0.017482200000090035,0.03442244000000069
2,9,133.0,569.0,466.0,171.0,28.0,-0.24747000000097075,4.887799999999523,1.0533499999824267,-0.40536920000008214,0.017142200000090032,0.03862144000000069
2,10,131.0,547.0,387.0,116.0,26.0,-0.3414700000009712,5.507799999999522,1.1653499999824215,-0.4632692000000821,0.017082200000090007,0.0453424400000007
3,0,155.0,550.0,741.0,765.0,99.0,0.020529999999029512,-0.084200000000477,0.5143499999824159,0.0072507999999178,-0.004477799999909982,0.001649440000000685
