p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,150.0,550.0,744.0,778.0,96.0,0.12244999999970978,0.1277700000000512,-0.42307000001097256,-0.006057600000082711,0.009407199999903826,0.004047290000000651
1,1,149.0,559.0,749.0,782.0,101.0,0.0044499999997085595,0.6367700000000528,-0.43607000001096896,-0.04357760000008252,0.0073071999999038155,0.006946290000000657
1,2,147.0,569.0,751.0,776.0,87.0,-0.050550000000291376,1.1757700000000548,-0.17707000001097697,-0.09117760000008268,0.006967199999903816,0.012341290000000633
1,3,146.0,578.0,746.0,759.0,68.0,-0.152550000000291,1.742770000000053,0.0029299999890441504,-0.1378376000000828,0.0009871999999038579,0.013056290000000642
1,4,144.0,584.0,736.0,723.0,51.0,-0.38755000000029255,2.2997700000000516,0.5159299999890231,-0.17689760000008264,-0.008192800000096182,0.015851290000000635
1,5,142.0,588.0,722.0,671.0,38.0,-0.4465500000002914,2.8447700000000538,0.16392999998903532,-0.22881760000008267,-0.015472800000096138,0.020492290000000593
1,6,140.0,590.0,706.0,611.0,31.0,-0.5495500000002908,3.3987700000000536,0.319929999989046,-0.2756376000000823,-0.019852800000096132,0.022754290000000617
1,7,138.0,590.0,686.0,541.0,27.0,-0.6235500000002911,4.022770000000055,0.600929999989029,-0.33127760000008305,-0.021192800000096112,0.030047290000000688
1,8,135.0,587.0,664.0,475.0,23.0,-0.6105500000002911,4.6407700000000505,0.47092999998903057,-0.3853376000000831,-0.021012800000096116,0.033349290000000704
1,9,134.0,584.0,639.0,404.0,21.0,-0.7255500000002939,5.184770000000055,0.8599299999890604,-0.4326776000000829,-0.025732800000096215,0.03805529000000068
1,10,132.0,577.0,610.0,329.0,20.0,-0.8345500000002924,5.842770000000065,0.7349299999890277,-0.4964776000000828,-0.030352800000096155,0.042176290000000644
2,0,153.0,550.0,743.0,770.0,98.0,0.009449999999708567,0.07277000000005149,-0.5520700000109455,-0.0037776000000826907,0.00036719999990381504,-0.0012827099999993563
2,1,154.0,558.0,750.0,773.0,103.0,0.037449999999708494,0.3257700000000515,-0.21607000001095358,-0.023897600000082644,0.0036271999999038245,0.0025522900000006466
2,2,152.0,571.0,752.0,751.0,104.0,0.008449999999708543,0.8597700000000541,-0.33507000001096493,-0.06885760000008255,0.009267199999903808,0.007596290000000654
2,3,149.0,582.0,741.0,687.0,89.0,-0.05955000000029137,1.3407700000000558,-0.06307000001097651,-0.11197760000008285,0.014647199999903864,0.012172290000000625
2,4,146.0,590.0,722.0,609.0,75.0,-0.06355000000029136,1.9407700000000538,0.1499299999890322,-0.15389760000008276,0.013427199999903895,0.014889290000000638
2,5,144.0,594.0,692.0,519.0,59.0,-0.1015500000002911,2.5127700000000552,0.05692999998905973,-0.20257760000008254,0.014567199999903873,0.019413290000000614
2,6,142.0,595.0,652.0,433.0,47.0,-0.1765500000002909,3.1287700000000487,0.39192999998903794,-0.24787760000008308,0.01474719999990388,0.02320929000000063
2,7,139.0,592.0,600.0,344.0,39.0,-0.17955000000029098,3.7757700000000534,0.258929999989043,-0.3017176000000829,0.01512719999990386,0.027421290000000677
2,8,137.0,584.0,542.0,256.0,33.0,-0.235550000000291,4.369770000000056,0.8669299999890461,-0.36751760000008266,0.018867199999903845,0.03268629000000065
2,9,134.0,569.0,475.0,180.0,30.0,-0.23755000000029106,5.023770000000061,0.8599299999890522,-0.4184776000000832,0.02136719999990383,0.037288290000000696
2,10,131.0,547.0,399.0,122.0,27.0,-0.2985500000002918,5.755770000000053,0.7819299999890621,-0.4790976000000832,0.02262719999990383,0.04147429000000064
3,0,154.0,552.0,745.0,767.0,102.0,0.021449999999708494,0.08477000000005151,0.06492999998906057,-0.0009776000000827566,0.0011071999999038454,0.00022529000000064324
3,1,154.0,562.0,754.0,766.0,103.0,0.024449999999708802,0.24577000000005123,-0.08207000001096643,-0.016737600000082807,0.005147199999903806,0.00324129000000065
3,2,153.0,582.0,747.0,708.0,107.0,-0.0015500000002914211,0.670770000000053,-0.07607000001095461,-0.04649760000008269,0.004387199999903806,0.003943290000000653
3,3,151.0,595.0,707.0,610.0,108.0,0.01744999999970852,1.1617700000000546,-0.36307000001097206,-0.09217760000008254,0.014567199999903874,0.007687290000000654
