p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,158.0,551.0,746.0,779.0,99.0,0.17183999999942728,0.13385000000004288,-0.08292000001426238,-0.007015000000086599,0.013919799999882404,0.0068217500000002
1,1,156.0,560.0,751.0,785.0,103.0,0.04083999999942629,0.6618500000000431,-0.33192000001426547,-0.04725500000008659,0.010719799999882382,0.008992750000000205
1,2,154.0,571.0,753.0,780.0,88.0,-0.01916000000057358,1.208850000000044,-0.07692000001426774,-0.09319500000008663,0.008099799999882373,0.010643750000000205
1,3,152.0,580.0,750.0,761.0,69.0,-0.18816000000057326,1.7508500000000413,0.33907999998574895,-0.14079500000008652,0.005259799999882382,0.012684750000000203
1,4,150.0,587.0,741.0,725.0,52.0,-0.2781600000005735,2.291850000000042,-0.14892000001425917,-0.18937500000008686,-0.0014002000001175964,0.018222750000000208
1,5,147.0,591.0,726.0,672.0,39.0,-0.4011600000005746,2.897850000000044,0.09207999998575356,-0.23811500000008712,-0.013140200000117628,0.019522750000000193
1,6,145.0,593.0,709.0,611.0,32.0,-0.5071600000005736,3.41285000000004,0.660079999985762,-0.28589500000008655,-0.01582020000011763,0.024189750000000197
1,7,142.0,594.0,689.0,542.0,27.0,-0.4701600000005739,4.023850000000053,0.37707999998576114,-0.3361750000000865,-0.021000200000117663,0.027270750000000225
1,8,140.0,592.0,666.0,476.0,23.0,-0.6941600000005739,4.625850000000035,0.4920799999857564,-0.3897150000000864,-0.02614020000011761,0.03166475000000021
1,9,138.0,588.0,641.0,404.0,22.0,-0.7571600000005738,5.194850000000041,0.7550799999857635,-0.447135000000087,-0.02562020000011763,0.039555750000000216
1,10,136.0,583.0,613.0,330.0,21.0,-0.8021600000005736,5.791850000000052,0.6960799999857653,-0.4972350000000869,-0.03004020000011759,0.04580875000000015
2,0,158.0,552.0,746.0,772.0,100.0,-0.007160000000573643,0.02385000000004333,0.08207999998573769,-0.002715000000086754,-0.00020020000011756393,0.000906750000000219
2,1,158.0,560.0,752.0,775.0,104.0,-0.026160000000573516,0.261850000000043,0.15107999998574317,-0.027395000000086652,0.005199799999882374,0.005378750000000203
2,2,156.0,573.0,755.0,751.0,105.0,-0.028160000000573584,0.8508500000000426,0.2550799999857344,-0.0669950000000867,0.005079799999882369,0.005664750000000202
2,3,154.0,584.0,743.0,687.0,91.0,-0.01816000000057361,1.455850000000043,0.00407999998574609,-0.1149350000000869,0.010139799999882366,0.00933075000000021
2,4,151.0,593.0,724.0,608.0,76.0,-0.07916000000057326,1.9898500000000447,0.16607999998574083,-0.16315500000008656,0.013279799999882392,0.01459575000000023
2,5,148.0,598.0,694.0,517.0,60.0,-0.12316000000057324,2.603850000000044,0.1310799999857546,-0.20273500000008704,0.012379799999882403,0.01918475000000024
2,6,146.0,599.0,653.0,433.0,48.0,-0.16316000000057326,3.1088500000000443,0.5340799999857334,-0.2519750000000864,0.015599799999882421,0.0237087500000002
2,7,143.0,596.0,602.0,345.0,40.0,-0.1781600000005732,3.766850000000044,0.5040799999857628,-0.31001500000008697,0.015599799999882433,0.027088750000000224
2,8,140.0,588.0,544.0,257.0,34.0,-0.20416000000057316,4.350850000000031,1.0830799999857545,-0.36555500000008667,0.01683979999988245,0.03249675000000019
2,9,137.0,574.0,476.0,180.0,31.0,-0.22316000000057323,5.056850000000043,0.8330799999857709,-0.4262950000000867,0.0216797999998824,0.036279750000000256
2,10,134.0,553.0,399.0,123.0,27.0,-0.24116000000057336,5.682850000000038,1.261079999985739,-0.4762550000000867,0.018839799999882403,0.04345575000000018
3,0,160.0,554.0,748.0,770.0,103.0,0.05183999999942637,0.04285000000004323,0.26307999998576587,-0.002655000000086768,0.0028997999998824015,0.000282750000000218
3,1,160.0,565.0,757.0,767.0,105.0,-0.015160000000573624,0.23785000000004225,0.23607999998576382,-0.01627500000008665,0.004639799999882367,0.0017127500000002182
3,2,158.0,585.0,749.0,707.0,109.0,0.05883999999942643,0.6518500000000432,0.13207999998573988,-0.05739500000008648,0.010099799999882376,0.004767750000000205
3,3,156.0,597.0,708.0,608.0,110.0,0.02383999999942634,1.1468500000000428,0.14107999998575219,-0.09155500000008658,0.008679799999882372,0.007705750000000209
3,4,152.0,600.0,637.0,493.0,104.0,0.03483999999942659,1.6778500000000411,0.05007999998577352,-0.1324550000000868,0.015779799999882427,0.009278750000000207
3,5,150.0,592.0,553.0,397.0,95.0,0.020839999999426536,2.2118500000000463,0.44107999998572517,-0.1783550000000865,0.016579799999882433,0.012944750000000223
3,6,146.0,574.0,457.0,299.0,84.0,-0.02416000000057355,2.722850000000043,0.5290799999857364,-0.2174950000000867,0.019519799999882428,0.017884750000000227
3,7,144.0,544.0,344.0,201.0,72.0,-0.018160000000573606,3.342850000000042,0.8000799999857547,-0.2791750000000864,0.027519799999882376,0.018898750000000224
3,8,140.0,499.0,226.0,123.0,62.0,-0.020160000000573605,3.952850000000054,0.8090799999857463,-0.3366750000000869,0.029059799999882382,0.021940750000000207
3,9,137.0,446.0,141.0,78.0,54.0,-0.010160000000573623,4.624850000000041,1.1380799999857387,-0.38853500000008656,0.036079799999882416,0.028206750000000242
3,10,134.0,382.0,94.0,56.0,49.0,-0.026160000000573575,5.237850000000048,1.6410799999857577,-0.44573500000008653,0.037359799999882426,0.029922750000000182
4,0,162.0,558.0,750.0,769.0,103.0,-0.041160000000573536,-0.005149999999956606,0.8480799999857588,0.001764999999913391,-0.00018020000011759822,-0.0009782499999997825
4,1,161.0,573.0,755.0,769.0,103.0,-0.0011600000005736746,0.15785000000004287,0.42107999998575646,-0.01505500000008669,0.002779799999882383,0.00046475000000021786
4,2,159.0,595.0,709.0,712.0,107.0,-0.02916000000057354,0.5808500000000436,0.29207999998576284,-0.04269500000008664,0.003359799999882396,0.002583750000000215
4,3,157.0,597.0,610.0,589.0,108.0,-0.0551600000005733,1.067850000000043,-0.010920000014267477,-0.07879500000008656,0.006899799999882372,0.0018167500000002177
4,4,154.0,570.0,504.0,449.0,109.0,-0.015160000000573604,1.489850000000042,0.5660799999857521,-0.11645500000008667,0.007199799999882369,0.002453750000000215
4,5,151.0,513.0,392.0,324.0,107.0,-0.04316000000057353,1.9798500000000445,0.5090799999857436,-0.15529500000008684,0.01179979999988238,0.0029087500000002132
4,6,148.0,430.0,258.0,196.0,102.0,-0.08516000000057336,2.4518500000000483,0.6770799999857366,-0.2013750000000866,0.013939799999882391,0.005261750000000206
4,7,144.0,341.0,149.0,109.0,96.0,-0.07116000000057333,2.8888500000000454,0.7890799999857446,-0.24387500000008658,0.018799799999882398,0.009564750000000215
4,8,142.0,260.0,84.0,70.0,90.0,-0.11916000000057327,3.522850000000051,0.9130799999857486,-0.3029750000000869,0.025199799999882352,0.009616750000000212
